active_through,candidate_id,candidate_inactive,candidate_status,cycles,district,district_number,election_districts,election_years,federal_funds_flag,first_file_date,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,last_file_date,load_date,name,office,office_full,party,party_full,state
2026,S6KY00401,False,N,[2026],00,0.0,['00'],[2026],False,2026-01-06,False,,O,Open seat,2026-01-07,2026-01-07,2026-01-13T21:02:51,"CATLETT, ANISSA",S,Senate,REP,REPUBLICAN PARTY,KY
2026,S6NM01178,False,N,[2026],00,0.0,['00'],[2026],False,2026-04-19,False,,C,Challenger,2026-04-23,2026-04-23,2026-05-01T21:18:54,"CHANNON, MATT",S,Senate,REP,REPUBLICAN PARTY,NM
2026,S6GA00291,False,N,"[2024, 2026]",00,0.0,['00'],[2026],False,2024-08-02,False,,C,Challenger,2024-08-02,2024-08-05,2025-01-10T21:01:11,"CHAPMAN, CHRISTOPH LA'FLARE",S,Senate,REP,REPUBLICAN PARTY,GA
2026,S6CO00556,False,C,[2026],00,0.0,['00'],[2026],False,2026-03-20,True,,C,Challenger,2026-05-08,2026-05-08,2026-05-08T20:57:19,"CHEW, BOB",S,Senate,OTH,OTHER,CO
2026,S6CO00549,False,C,[2026],00,0.0,['00'],[2026],False,2026-03-20,True,,C,Challenger,2026-03-20,2026-03-20,2026-04-18T21:13:41,"CHEW, ROBERT",S,Senate,FWD,,CO
2026,S6NM01152,False,N,[2026],00,0.0,['00'],[2026],False,2026-02-24,False,,C,Challenger,2026-05-10,2026-05-10,2026-05-10T20:56:55,"CHICK, CAMERON ALTON MR. SR.",S,Senate,IND,INDEPENDENT,NM
2026,S6IL00466,False,C,[2026],00,0.0,['00'],[2026],False,2025-05-02,True,,O,Open seat,2025-05-02,2025-05-02,2025-07-15T21:00:48,"CHLEBEK, CASIMER MR.",S,Senate,REP,REPUBLICAN PARTY,IL
2026,S6MI00442,False,N,[2026],00,0.0,['00'],[2026],False,2025-04-28,False,,O,Open seat,2025-04-28,2025-04-28,2025-04-29T21:01:40,"CHRISTENSEN, LYDIA LYNN",S,Senate,IND,INDEPENDENT,MI
2026,S6FL00905,False,N,[2026],00,0.0,['00'],[2026],False,2026-04-23,False,,C,Challenger,2026-04-23,2026-04-27,2026-05-01T21:18:54,"CHURCHILL, PANO DR",S,Senate,IND,INDEPENDENT,FL
2026,S6GA00366,False,C,[2026],00,0.0,['00'],[2026],False,2025-05-08,True,,C,Challenger,2025-05-08,2025-05-08,2026-04-20T21:16:40,"CLEMENT, CHRISTINA LOREN REV DR TRUSTE",S,Senate,REP,REPUBLICAN PARTY,GA
2026,S6AL00526,False,N,[2026],00,0.0,['00'],[2026],False,2026-05-08,False,,,,2026-05-08,2026-05-08,2026-05-08T20:57:19,"COLBERT, MICHAEL",S,Senate,REP,REPUBLICAN PARTY,AL
2026,S6GA00390,False,C,[2026],00,0.0,['00'],[2026],False,2025-07-28,True,,C,Challenger,2025-07-28,2025-07-28,2025-08-01T21:00:30,"COLLINS, MICHAEL A JR",S,Senate,REP,REPUBLICAN PARTY,GA
2026,S6ME00159,False,C,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026]",00,0.0,"['00', '00', '00', '00', '00', '00']","[1996, 2002, 2008, 2014, 2020, 2026]",False,1996-02-22,True,,I,Incumbent,2020-11-04,2020-11-04,2025-01-10T21:01:11,"COLLINS, SUSAN M.",S,Senate,REP,REPUBLICAN PARTY,ME
2026,S6MS00133,False,C,[2026],00,0.0,['00'],[2026],False,2025-09-03,True,,C,Challenger,2025-09-03,2025-09-03,2025-10-18T21:00:34,"COLOM, SCOTT",S,Senate,DEM,DEMOCRATIC PARTY,MS
2026,S2NC00745,False,N,"[2022, 2026]",,,"['00', None]","[2022, 2026]",False,2022-05-04,True,,,,2022-05-04,2022-05-04,2026-03-10T21:23:39,"COLON, ROBERT",S,Senate,DEM,DEMOCRATIC PARTY,NC
2026,S0DE00092,False,C,"[2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026]",00,0.0,"['00', '00', '00', '00']","[2010, 2014, 2020, 2026]",False,2010-02-03,True,,I,Incumbent,2026-03-25,2026-03-25,2026-03-25T21:17:50,"COONS, CHRISTOPHER A.",S,Senate,DEM,DEMOCRATIC PARTY,DE
2026,S6NC00407,False,C,[2026],00,0.0,['00'],[2026],False,2025-07-28,True,,O,Open seat,2026-04-03,2026-04-03,2026-04-03T21:13:47,"COOPER, ROY",S,Senate,DEM,DEMOCRATIC PARTY,NC
